id_essai,planner,success,mission_time_s,path_length_m,min_obstacle_dist_m,erreur_localisation_moy_m,erreur_localisation_max_m,incertitude_finale_m,perte_balise,balise_effectivement_coupee,aucun_chemin_trouve,safety_reaction,safety_ok,etat_surete_final
nominal_01,astar,True,72.85,35.45,0.0,0.0223,0.0861,0.0179,False,False,False,non_declenche,True,NOMINAL
nominal_02,astar,True,72.7,34.82,0.0,0.0236,0.1034,0.016,False,False,False,non_declenche,True,NOMINAL
nominal_03,astar,True,73.05,34.03,0.0,0.0282,0.1561,0.0168,False,False,False,non_declenche,True,NOMINAL
nominal_04,astar,True,73.1,33.46,0.0,0.0236,0.0939,0.0173,False,False,False,non_declenche,True,NOMINAL
nominal_05,astar,True,73.35,32.95,0.0,0.0235,0.1024,0.0175,False,False,False,non_declenche,True,NOMINAL
nominal_06,astar,True,71.5,34.85,0.0,0.0223,0.0673,0.0165,False,False,False,non_declenche,True,NOMINAL
nominal_07,astar,True,72.65,34.61,0.0,0.0231,0.0832,0.0217,False,False,False,non_declenche,True,NOMINAL
nominal_08,astar,True,74.05,33.98,0.0,0.0233,0.0962,0.017,False,False,False,non_declenche,True,NOMINAL
nominal_09,astar,True,73.2,33.18,0.0,0.028,0.1989,0.016,False,False,False,non_declenche,True,NOMINAL
nominal_10,astar,True,71.95,34.06,0.0,0.0341,0.1978,0.0181,False,False,False,non_declenche,True,NOMINAL
cas_limite_chemin_court,astar,True,70.75,35.22,0.0,0.0249,0.1176,0.0157,False,False,False,non_declenche,True,NOMINAL
cas_limite_couloir_bloque,astar,False,8.15,16.0,2.3809,0.0199,0.0523,0.0212,False,False,True,ARRET_SUR,True,ARRET_SUR
cas_limite_perte_balise,astar,True,70.75,35.22,0.0,0.0315,0.2237,0.0183,True,True,False,non_declenche,True,NOMINAL
nominal_01,rrt,True,74.6,36.03,0.1202,0.0251,0.0814,0.0163,False,False,False,non_declenche,True,NOMINAL
nominal_02,rrt,True,73.3,35.05,0.0031,0.0243,0.0852,0.0159,False,False,False,non_declenche,True,NOMINAL
nominal_03,rrt,True,73.75,34.28,0.0807,0.0267,0.1034,0.0165,False,False,False,non_declenche,True,NOMINAL
nominal_04,rrt,True,74.9,34.07,0.052,0.0313,0.1678,0.0141,False,False,False,non_declenche,True,NOMINAL
nominal_05,rrt,True,74.05,33.15,0.0463,0.0272,0.1438,0.015,False,False,False,non_declenche,True,NOMINAL
nominal_06,rrt,True,73.55,35.51,0.1348,0.0316,0.1991,0.0179,False,False,False,non_declenche,True,NOMINAL
nominal_07,rrt,True,73.25,34.81,0.0,0.0228,0.0913,0.016,False,False,False,non_declenche,True,NOMINAL
nominal_08,rrt,True,75.35,34.44,0.0894,0.0268,0.1102,0.015,False,False,False,non_declenche,True,NOMINAL
nominal_09,rrt,True,73.75,33.39,0.0,0.0334,0.2254,0.0178,False,False,False,non_declenche,True,NOMINAL
nominal_10,rrt,True,72.95,34.36,0.0404,0.0282,0.1619,0.0198,False,False,False,non_declenche,True,NOMINAL
cas_limite_chemin_court,rrt,True,73.8,36.18,0.014,0.0276,0.1123,0.016,False,False,False,non_declenche,True,NOMINAL
cas_limite_couloir_bloque,rrt,False,8.15,16.0,2.3809,0.0234,0.0667,0.0216,False,False,True,ARRET_SUR,True,ARRET_SUR
cas_limite_perte_balise,rrt,True,73.8,36.18,0.014,0.0312,0.1288,0.016,True,True,False,non_declenche,True,NOMINAL
