planner,success,initial_plan_time_ms,replan_time_ms,replan_count,total_time,goal_dist,obstacle_appeared,path_found_after_replan,min_obstacle_dist,id_essai,aucun_chemin_trouve,safety_reaction,safety_ok
astar,True,1.16,51.86,1,73.35,0.0993,True,True,0.0,nominal_01,False,non_declenche,True
astar,True,0.99,49.44,1,73.2,0.0986,True,True,0.0,nominal_02,False,non_declenche,True
astar,True,1.02,47.63,1,73.5,0.0998,True,True,0.0,nominal_03,False,non_declenche,True
astar,True,1.0,43.15,1,73.65,0.0987,True,True,0.0,nominal_04,False,non_declenche,True
astar,True,0.98,41.32,1,73.85,0.0996,True,True,0.0,nominal_05,False,non_declenche,True
astar,True,0.96,56.71,1,71.9,0.0985,True,True,0.0,nominal_06,False,non_declenche,True
astar,True,0.99,59.6,1,73.1,0.0986,True,True,0.0,nominal_07,False,non_declenche,True
astar,True,0.99,43.83,1,74.5,0.0994,True,True,0.0,nominal_08,False,non_declenche,True
astar,True,0.97,41.67,1,73.65,0.0997,True,True,0.0,nominal_09,False,non_declenche,True
astar,True,1.09,45.92,1,72.4,0.0987,True,True,0.0,nominal_10,False,non_declenche,True
astar,True,0.98,53.94,1,71.2,0.0996,True,True,0.0,cas_limite_chemin_court,False,non_declenche,True
astar,False,1.01,55.77,1,8.0,13.6,True,False,2.391,cas_limite_couloir_bloque,True,ARRET_SUR,True
rrt,True,2.87,22.86,1,75.1,0.099,True,True,0.1211,nominal_01,False,non_declenche,True
rrt,True,2.73,24.85,1,73.8,0.0987,True,True,0.0049,nominal_02,False,non_declenche,True
rrt,True,2.77,25.9,1,73.75,0.0994,True,True,0.0,nominal_03,False,non_declenche,True
rrt,True,2.77,42.05,1,75.4,0.0999,True,True,0.0521,nominal_04,False,non_declenche,True
rrt,True,3.11,24.05,1,74.55,0.099,True,True,0.0465,nominal_05,False,non_declenche,True
rrt,True,2.79,31.65,1,73.7,0.0988,True,True,0.1309,nominal_06,False,non_declenche,True
rrt,True,2.76,34.58,1,73.65,0.0989,True,True,0.0,nominal_07,False,non_declenche,True
rrt,True,2.76,28.97,1,75.85,0.0989,True,True,0.0899,nominal_08,False,non_declenche,True
rrt,True,2.79,32.35,1,74.25,0.099,True,True,0.0,nominal_09,False,non_declenche,True
rrt,True,2.77,24.46,1,73.15,0.0998,True,True,0.1144,nominal_10,False,non_declenche,True
rrt,True,2.74,42.4,1,74.25,0.0993,True,True,0.014,cas_limite_chemin_court,False,non_declenche,True
rrt,False,2.74,138.79,1,8.0,13.6,True,False,2.391,cas_limite_couloir_bloque,True,ARRET_SUR,True
