time,x,y,theta,v,omega,stopped
0.05,1.515,1.0,0.0177,0.3,0.3535,False
0.1,1.53,1.0003,0.0364,0.3,0.3745,False
0.15,1.545,1.0008,0.0566,0.3,0.403,False
0.2,1.56,1.0017,0.0769,0.3,0.4077,False
0.25,1.5749,1.0028,0.0972,0.3,0.4044,False
0.3,1.5898,1.0043,0.1205,0.3,0.4661,False
0.35,1.6047,1.0061,0.143,0.3,0.4516,False
0.4,1.6196,1.0082,0.165,0.3,0.4382,False
0.45,1.6344,1.0107,0.1885,0.3,0.4711,False
0.5,1.6491,1.0135,0.211,0.3,0.4491,False
0.55,1.6638,1.0166,0.2347,0.3,0.4743,False
0.6,1.6784,1.0201,0.2605,0.3,0.5162,False
0.65,1.6929,1.024,0.2868,0.3,0.5252,False
0.7,1.7073,1.0282,0.3109,0.3,0.4832,False
0.75,1.7215,1.0328,0.3335,0.3,0.4508,False
0.8,1.7357,1.0377,0.358,0.3,0.4901,False
0.85,1.7498,1.043,0.3819,0.3,0.4789,False
0.9,1.7637,1.0486,0.4063,0.3,0.4871,False
0.95,1.7775,1.0545,0.4274,0.3,0.4228,False
1.0,1.7911,1.0607,0.4496,0.3,0.4431,False
1.05,1.8046,1.0672,0.4724,0.3,0.457,False
1.1,1.818,1.0741,0.4914,0.3,0.3803,False
1.15,1.8312,1.0811,0.5116,0.3,0.4026,False
1.2,1.8443,1.0885,0.532,0.3,0.408,False
1.25,1.8572,1.0961,0.5525,0.3,0.4104,False
1.3,1.87,1.104,0.5715,0.3,0.3815,False
1.35,1.8826,1.1121,0.5876,0.3,0.3204,False
1.4,1.8951,1.1204,0.5993,0.3,0.234,False
1.45,1.9075,1.1288,0.609,0.3,0.1947,False
1.5,1.9198,1.1374,0.6184,0.3,0.1871,False
1.55,1.932,1.1461,0.6278,0.3,0.1884,False
1.6,1.9441,1.1549,0.6368,0.3,0.1814,False
1.65,1.9562,1.1638,0.6455,0.3,0.1729,False
1.7,1.9682,1.1729,0.6532,0.3,0.1533,False
1.75,1.9801,1.182,0.6615,0.3,0.1665,False
1.8,1.9919,1.1912,0.6698,0.3,0.1669,False
1.85,2.0037,1.2005,0.6774,0.3,0.1522,False
1.9,2.0154,1.2099,0.6832,0.3,0.1149,False
1.95,2.027,1.2194,0.6879,0.3,0.0944,False
2.0,2.0386,1.2289,0.6923,0.3,0.087,False
2.05,2.0501,1.2385,0.6997,0.3,0.1496,False
2.1,2.0616,1.2481,0.708,0.3,0.1659,False
2.15,2.073,1.2579,0.7149,0.3,0.1368,False
2.2,2.0843,1.2677,0.7205,0.3,0.1128,False
2.25,2.0956,1.2776,0.7289,0.3,0.1678,False
2.3,2.1068,1.2876,0.7384,0.3,0.1907,False
2.35,2.1179,1.2977,0.7457,0.3,0.1452,False
2.4,2.1289,1.3079,0.7528,0.3,0.1415,False
2.45,2.1399,1.3181,0.7572,0.3,0.0894,False
2.5,2.1508,1.3285,0.7637,0.3,0.1281,False
2.55,2.1616,1.3388,0.7704,0.3,0.1356,False
2.6,2.1724,1.3493,0.7754,0.3,0.1003,False
2.65,2.1831,1.3598,0.781,0.3,0.1119,False
2.7,2.1937,1.3703,0.7843,0.3,0.0645,False
2.75,2.2043,1.3809,0.7865,0.3,0.0449,False
2.8,2.2149,1.3915,0.7888,0.3,0.0466,False
2.85,2.2255,1.4022,0.7907,0.3,0.0364,False
2.9,2.236,1.4129,0.7931,0.3,0.0486,False
2.95,2.2466,1.4235,0.7952,0.3,0.0423,False
