time,x,y,theta,v,omega,stopped
0.05,1.515,1.0,0.0179,0.3,0.3585,False
0.1,1.53,1.0003,0.0372,0.3,0.3856,False
0.15,1.545,1.0008,0.0567,0.3,0.3893,False
0.2,1.56,1.0017,0.0764,0.3,0.3942,False
0.25,1.5749,1.0028,0.096,0.3,0.3925,False
0.3,1.5899,1.0043,0.115,0.3,0.3804,False
0.35,1.6048,1.006,0.1333,0.3,0.3649,False
0.4,1.6196,1.008,0.1526,0.3,0.3863,False
0.45,1.6344,1.0103,0.1715,0.3,0.3774,False
0.5,1.6492,1.0128,0.1904,0.3,0.378,False
0.55,1.664,1.0157,0.209,0.3,0.3723,False
0.6,1.6786,1.0188,0.2281,0.3,0.3834,False
0.65,1.6932,1.0222,0.2485,0.3,0.4081,False
0.7,1.7078,1.0258,0.2665,0.3,0.359,False
0.75,1.7222,1.0298,0.2869,0.3,0.4076,False
0.8,1.7366,1.034,0.3101,0.3,0.4649,False
0.85,1.7509,1.0386,0.3327,0.3,0.4518,False
0.9,1.7651,1.0435,0.3575,0.3,0.4964,False
0.95,1.7791,1.0488,0.3831,0.3,0.512,False
1.0,1.7931,1.0544,0.4058,0.3,0.4531,False
1.05,1.8068,1.0603,0.4294,0.3,0.4714,False
1.1,1.8205,1.0665,0.4511,0.3,0.4343,False
1.15,1.834,1.0731,0.47,0.3,0.3778,False
1.2,1.8474,1.0799,0.4863,0.3,0.3276,False
1.25,1.8606,1.0869,0.5003,0.3,0.2798,False
1.3,1.8738,1.0941,0.5131,0.3,0.2545,False
1.35,1.8868,1.1014,0.5249,0.3,0.2365,False
1.4,1.8998,1.109,0.5365,0.3,0.2332,False
1.45,1.9127,1.1166,0.5476,0.3,0.2217,False
1.5,1.9255,1.1244,0.5586,0.3,0.2186,False
1.55,1.9382,1.1324,0.5709,0.3,0.2475,False
1.6,1.9509,1.1405,0.5835,0.3,0.2521,False
1.65,1.9634,1.1488,0.5958,0.3,0.2457,False
1.7,1.9758,1.1572,0.6083,0.3,0.2486,False
1.75,1.9881,1.1657,0.6181,0.3,0.1973,False
1.8,2.0003,1.1744,0.628,0.3,0.1966,False
1.85,2.0125,1.1832,0.6376,0.3,0.1938,False
1.9,2.0245,1.1922,0.6483,0.3,0.2139,False
1.95,2.0365,1.2012,0.6577,0.3,0.1875,False
2.0,2.0484,1.2104,0.6675,0.3,0.1955,False
2.05,2.0601,1.2197,0.6782,0.3,0.214,False
2.1,2.0718,1.2291,0.6878,0.3,0.1932,False
2.15,2.0834,1.2386,0.6962,0.3,0.1676,False
2.2,2.0949,1.2482,0.7032,0.3,0.1398,False
2.25,2.1064,1.2579,0.7109,0.3,0.1532,False
2.3,2.1177,1.2677,0.7189,0.3,0.1609,False
2.35,2.129,1.2776,0.7282,0.3,0.1848,False
2.4,2.1402,1.2876,0.7381,0.3,0.1992,False
2.45,2.1513,1.2977,0.7475,0.3,0.1881,False
2.5,2.1623,1.3079,0.7576,0.3,0.2006,False
