time,x,y,theta,v,omega,stopped
0.05,0.0,0.0,0.05,0.0,1.0,False
0.1,0.0,0.0,0.1,0.0,1.0,False
0.15,0.0,0.0,0.15,0.0,1.0,False
0.2,0.0,0.0,0.2,0.0,1.0,False
0.25,0.0,0.0,0.25,0.0,1.0,False
0.3,0.0,0.0,0.3,0.0,1.0,False
0.35,0.0,0.0,0.35,0.0,1.0,False
0.4,0.0,0.0,0.4,0.0,1.0,False
0.45,0.0,0.0,0.45,0.0,1.0,False
0.5,0.0,0.0,0.5,0.0,1.0,False
0.55,0.0,0.0,0.55,0.0,1.0,False
0.6,0.0,0.0,0.6,0.0,1.0,False
0.65,0.0,0.0,0.65,0.0,1.0,False
0.7,0.0,0.0,0.7,0.0,1.0,False
0.75,0.0,0.0,0.75,0.0,1.0,False
0.8,0.011,0.0102,0.7511,0.3,0.0212,False
0.85,0.0219,0.0205,0.7521,0.3,0.0212,False
0.9,0.0329,0.0307,0.7532,0.3,0.0212,False
0.95,0.0438,0.041,0.7542,0.3,0.0212,False
1.0,0.0548,0.0512,0.7553,0.3,0.0211,False
1.05,0.0657,0.0615,0.7564,0.3,0.021,False
1.1,0.0766,0.0718,0.7574,0.3,0.021,False
1.15,0.0875,0.0821,0.7584,0.3,0.0209,False
1.2,0.0984,0.0924,0.7595,0.3,0.0207,False
1.25,0.1093,0.1028,0.7605,0.3,0.0206,False
1.3,0.1201,0.1131,0.7615,0.3,0.0204,False
1.35,0.131,0.1235,0.7625,0.3,0.0203,False
1.4,0.1418,0.1338,0.7635,0.3,0.0201,False
1.45,0.1527,0.1442,0.7645,0.3,0.0199,False
1.5,0.1635,0.1546,0.7655,0.3,0.0197,False
1.55,0.1743,0.165,0.7665,0.3,0.0195,False
1.6,0.1851,0.1754,0.7675,0.3,0.0193,False
1.65,0.1959,0.1858,0.7684,0.3,0.019,False
1.7,0.2067,0.1962,0.7694,0.3,0.0188,False
1.75,0.2175,0.2066,0.7703,0.3,0.0185,False
1.8,0.2282,0.2171,0.7712,0.3,0.0183,False
1.85,0.239,0.2275,0.7721,0.3,0.018,False
1.9,0.2497,0.238,0.773,0.3,0.0177,False
1.95,0.2605,0.2485,0.7739,0.3,0.0174,False
2.0,0.2712,0.259,0.7747,0.3,0.0171,False
2.05,0.2819,0.2695,0.7755,0.3,0.0168,False
2.1,0.2926,0.28,0.7764,0.3,0.0165,False
2.15,0.3033,0.2905,0.7772,0.3,0.0162,False
2.2,0.314,0.301,0.778,0.3,0.0158,False
2.25,0.3247,0.3115,0.7787,0.3,0.0155,False
2.3,0.3354,0.3221,0.7795,0.3,0.0152,False
2.35,0.3461,0.3326,0.7802,0.3,0.0149,False
2.4,0.3567,0.3432,0.781,0.3,0.0145,False
2.45,0.3674,0.3537,0.7817,0.3,0.0142,False
2.5,0.378,0.3643,0.7824,0.3,0.0138,False
2.55,0.3887,0.3749,0.783,0.3,0.0135,False
2.6,0.3993,0.3854,0.7837,0.3,0.0131,False
2.65,0.4099,0.396,0.7843,0.3,0.0128,False
2.7,0.4205,0.4066,0.785,0.3,0.0124,False
2.75,0.4311,0.4172,0.7856,0.3,0.0121,False
2.8,0.4418,0.4278,0.7862,0.3,0.0117,False
2.85,0.4524,0.4384,0.7867,0.3,0.0114,False
2.9,0.4629,0.4491,0.7873,0.3,0.011,False
2.95,0.4735,0.4597,0.7878,0.3,0.0107,False
3.0,0.4841,0.4703,0.7883,0.3,0.0103,False
3.05,0.4947,0.481,0.7888,0.3,0.0099,False
3.1,0.5053,0.4916,0.7893,0.3,0.0096,False
3.15,0.5158,0.5023,0.7898,0.3,0.0092,False
3.2,0.5264,0.5129,0.7902,0.3,0.0089,False
3.25,0.5369,0.5236,0.7906,0.3,0.0086,False
3.3,0.5475,0.5342,0.791,0.3,0.0082,False
3.35,0.558,0.5449,0.7914,0.3,0.0079,False
3.4,0.5686,0.5556,0.7918,0.3,0.0075,False
3.45,0.5791,0.5662,0.7922,0.3,0.0072,False
3.5,0.5897,0.5769,0.7925,0.3,0.0069,False
3.55,0.6002,0.5876,0.7928,0.3,0.0065,False
3.6,0.6107,0.5983,0.7932,0.3,0.0062,False
3.65,0.6212,0.609,0.7934,0.3,0.0059,False
3.7,0.6318,0.6197,0.7937,0.3,0.0056,False
3.75,0.6423,0.6304,0.794,0.3,0.0053,False
3.8,0.6528,0.6411,0.7942,0.3,0.005,False
3.85,0.6633,0.6518,0.7945,0.3,0.0047,False
3.9,0.6738,0.6625,0.7947,0.3,0.0044,False
3.95,0.6843,0.6732,0.7949,0.3,0.0041,False
4.0,0.6948,0.6839,0.7951,0.3,0.0038,False
4.05,0.7053,0.6946,0.7953,0.3,0.0035,False
4.1,0.7158,0.7053,0.7954,0.3,0.0032,False
4.15,0.7263,0.716,0.7956,0.3,0.0029,False
4.2,0.7368,0.7267,0.7957,0.3,0.0027,False
4.25,0.7473,0.7374,0.7958,0.3,0.0024,False
4.3,0.7578,0.7481,0.7959,0.3,0.0021,False
4.35,0.7683,0.7589,0.796,0.3,0.0019,False
4.4,0.7788,0.7696,0.7961,0.3,0.0016,False
4.45,0.7893,0.7803,0.7962,0.3,0.0014,False
4.5,0.7998,0.791,0.7962,0.3,0.0012,False
4.55,0.8103,0.8017,0.7963,0.3,0.0009,False
4.6,0.8208,0.8125,0.7963,0.3,0.0007,False
4.65,0.8313,0.8232,0.7963,0.3,0.0005,False
4.7,0.8418,0.8339,0.7964,0.3,0.0003,False
4.75,0.8522,0.8446,0.7964,0.3,0.0001,False
4.8,0.8627,0.8553,0.7964,0.3,-0.0001,False
4.85,0.8732,0.8661,0.7963,0.3,-0.0003,False
4.9,0.8837,0.8768,0.7963,0.3,-0.0005,False
4.95,0.8942,0.8875,0.7963,0.3,-0.0007,False
5.0,0.9047,0.8982,0.7962,0.3,-0.0009,False
5.05,0.9152,0.909,0.7962,0.3,-0.001,False
5.1,0.9257,0.9197,0.7961,0.3,-0.0012,False
5.15,0.9362,0.9304,0.7961,0.3,-0.0013,False
5.2,0.9467,0.9411,0.796,0.3,-0.0015,False
5.25,0.9572,0.9518,0.7959,0.3,-0.0016,False
5.3,0.9676,0.9626,0.7958,0.3,-0.0018,False
5.35,0.9781,0.9733,0.7957,0.3,-0.0019,False
5.4,0.9886,0.984,0.7956,0.3,-0.0021,False
5.45,0.9991,0.9947,0.7955,0.3,-0.0022,False
5.5,1.0096,1.0054,0.7954,0.3,-0.0023,False
5.55,1.0201,1.0161,0.7953,0.3,-0.0024,False
5.6,1.0306,1.0268,0.7951,0.3,-0.0025,False
5.65,1.0411,1.0375,0.795,0.3,-0.0026,False
5.7,1.0516,1.0483,0.7949,0.3,-0.0027,False
5.75,1.0621,1.059,0.7947,0.3,-0.0028,False
5.8,1.0727,1.0697,0.7946,0.3,-0.0029,False
5.85,1.0832,1.0804,0.7944,0.3,-0.003,False
5.9,1.0937,1.0911,0.7943,0.3,-0.0031,False
5.95,1.1042,1.1018,0.7941,0.3,-0.0031,False
6.0,1.1147,1.1125,0.794,0.3,-0.0032,False
6.05,1.1252,1.1232,0.7938,0.3,-0.0032,False
6.1,1.1357,1.1339,0.7936,0.3,-0.0033,False
6.15,1.1463,1.1446,0.7935,0.3,-0.0034,False
6.2,1.1568,1.1552,0.7933,0.3,-0.0034,False
6.25,1.1673,1.1659,0.7931,0.3,-0.0034,False
6.3,1.1778,1.1766,0.793,0.3,-0.0035,False
6.35,1.1883,1.1873,0.7928,0.3,-0.0035,False
6.4,1.1989,1.198,0.7926,0.3,-0.0036,False
6.45,1.2094,1.2087,0.7924,0.3,-0.0036,False
6.5,1.2199,1.2194,0.7922,0.3,-0.0036,False
6.55,1.2305,1.23,0.7921,0.3,-0.0036,False
6.6,1.241,1.2407,0.7919,0.3,-0.0036,False
6.65,1.2515,1.2514,0.7917,0.3,-0.0036,False
6.7,1.2621,1.2621,0.7915,0.3,-0.0037,False
6.75,1.2726,1.2727,0.7913,0.3,-0.0037,False
6.8,1.2832,1.2834,0.7912,0.3,-0.0037,False
6.85,1.2937,1.2941,0.791,0.3,-0.0037,False
6.9,1.3042,1.3047,0.7908,0.2996,-0.0036,False
6.95,1.3146,1.3152,0.7906,0.2951,-0.0036,False
7.0,1.3248,1.3255,0.7904,0.2907,-0.0036,False
7.05,1.3349,1.3357,0.7902,0.2863,-0.0036,False
7.1,1.3448,1.3457,0.7901,0.282,-0.0036,False
7.15,1.3546,1.3556,0.7899,0.2778,-0.0036,False
7.2,1.3642,1.3653,0.7897,0.2736,-0.0035,False
7.25,1.3737,1.3749,0.7895,0.2695,-0.0035,False
7.3,1.3831,1.3843,0.7894,0.2655,-0.0035,False
7.35,1.3923,1.3936,0.7892,0.2615,-0.0034,False
7.4,1.4014,1.4027,0.789,0.2576,-0.0034,False
7.45,1.4103,1.4117,0.7889,0.2537,-0.0033,False
7.5,1.4191,1.4206,0.7887,0.2499,-0.0033,False
7.55,1.4278,1.4293,0.7885,0.2461,-0.0033,False
7.6,1.4363,1.4379,0.7884,0.2424,-0.0032,False
7.65,1.4447,1.4464,0.7882,0.2388,-0.0032,False
7.7,1.453,1.4547,0.7881,0.2352,-0.0031,False
7.75,1.4612,1.4629,0.7879,0.2317,-0.003,False
7.8,1.4692,1.471,0.7878,0.2282,-0.003,False
7.85,1.4772,1.479,0.7876,0.2248,-0.0029,False
7.9,1.485,1.4869,0.7875,0.2214,-0.0029,False
7.95,1.4927,1.4946,0.7873,0.2181,-0.0028,False
8.0,1.5003,1.5022,0.7872,0.2148,-0.0028,False
8.05,1.5077,1.5097,0.787,0.2116,-0.0027,False
8.1,1.5151,1.5171,0.7869,0.2084,-0.0026,False
8.15,1.5223,1.5243,0.7868,0.2053,-0.0026,False
8.2,1.5295,1.5315,0.7867,0.2022,-0.0025,False
8.25,1.5365,1.5385,0.7865,0.1992,-0.0025,False
8.3,1.5434,1.5455,0.7864,0.1962,-0.0024,False
8.35,1.5503,1.5523,0.7863,0.1933,-0.0024,False
8.4,1.557,1.5591,0.7862,0.1904,-0.0023,False
8.45,1.5636,1.5657,0.7861,0.1875,-0.0022,False
8.5,1.5701,1.5722,0.786,0.1847,-0.0022,False
8.55,1.5766,1.5787,0.7859,0.1819,-0.0021,False
8.6,1.5829,1.585,0.7858,0.1792,-0.0021,False
8.65,1.5891,1.5913,0.7857,0.1765,-0.002,False
8.7,1.5953,1.5974,0.7856,0.1739,-0.0019,False
8.75,1.6013,1.6035,0.7855,0.1713,-0.0019,False
8.8,1.6073,1.6094,0.7854,0.1687,-0.0018,False
8.85,1.6132,1.6153,0.7853,0.1662,-0.0018,False
8.9,1.619,1.6211,0.7852,0.1637,-0.0017,False
8.95,1.6247,1.6268,0.7851,0.1612,-0.0017,False
9.0,1.6303,1.6324,0.785,0.1588,-0.0016,False
9.05,1.6358,1.6379,0.7849,0.1564,-0.0016,False
9.1,1.6413,1.6434,0.7849,0.1541,-0.0015,False
