time,x,y,theta,v,omega,stopped
0.05,2.015,7.5,0.0,0.3,0.0,False
0.1,2.03,7.5,0.0,0.3,0.0,False
0.15,2.045,7.5,0.0,0.3,0.0,False
0.2,2.06,7.5,0.0,0.3,0.0,False
0.25,2.075,7.5,0.0,0.3,0.0,False
0.3,2.09,7.5,0.0,0.3,0.0,False
0.35,2.105,7.5,0.0,0.3,0.0,False
0.4,2.12,7.5,0.0,0.3,0.0,False
0.45,2.135,7.5,0.0,0.3,0.0,False
0.5,2.15,7.5,0.0,0.3,0.0,False
0.55,2.165,7.5,0.0,0.3,0.0,False
0.6,2.18,7.5,0.0,0.3,0.0,False
0.65,2.195,7.5,0.0,0.3,0.0,False
0.7,2.21,7.5,0.0,0.3,0.0,False
0.75,2.225,7.5,0.0,0.3,0.0,False
0.8,2.24,7.5,0.0,0.3,0.0,False
0.85,2.255,7.5,0.0,0.3,0.0,False
0.9,2.27,7.5,0.0,0.3,0.0,False
0.95,2.285,7.5,0.0,0.3,0.0,False
1.0,2.3,7.5,0.0,0.3,0.0,False
1.05,2.315,7.5,0.0,0.3,0.0,False
1.1,2.33,7.5,0.0,0.3,0.0,False
1.15,2.345,7.5,0.0,0.3,0.0,False
1.2,2.36,7.5,0.0,0.3,0.0,False
1.25,2.375,7.5,0.0,0.3,0.0,False
1.3,2.39,7.5,0.0,0.3,0.0,False
1.35,2.405,7.5,0.0,0.3,0.0,False
1.4,2.42,7.5,0.0,0.3,0.0,False
1.45,2.435,7.5,0.0,0.3,0.0,False
1.5,2.45,7.5,0.0,0.3,0.0,False
1.55,2.465,7.5,0.0,0.3,0.0,False
1.6,2.48,7.5,0.0,0.3,0.0,False
1.65,2.495,7.5,0.0,0.3,0.0,False
1.7,2.51,7.5,0.0,0.3,0.0,False
1.75,2.525,7.5,0.0,0.3,0.0,False
1.8,2.54,7.5,0.0,0.3,0.0,False
1.85,2.555,7.5,0.0,0.3,0.0,False
1.9,2.57,7.5,0.0,0.3,0.0,False
1.95,2.585,7.5,0.0,0.3,0.0,False
2.0,2.6,7.5,0.0,0.3,0.0,False
2.05,2.615,7.5,0.0,0.3,0.0,False
2.1,2.63,7.5,0.0,0.3,0.0,False
2.15,2.645,7.5,0.0,0.3,0.0,False
2.2,2.66,7.5,0.0,0.3,0.0,False
2.25,2.675,7.5,0.0,0.3,0.0,False
2.3,2.69,7.5,0.0,0.3,0.0,False
2.35,2.705,7.5,0.0,0.3,0.0,False
2.4,2.72,7.5,0.0,0.3,0.0,False
2.45,2.735,7.5,0.0,0.3,0.0,False
2.5,2.75,7.5,0.0,0.3,0.0,False
2.55,2.765,7.5,0.0,0.3,0.0,False
2.6,2.78,7.5,0.0,0.3,0.0,False
2.65,2.795,7.5,0.0,0.3,0.0,False
2.7,2.81,7.5,0.0,0.3,0.0,False
2.75,2.825,7.5,0.0,0.3,0.0,False
2.8,2.84,7.5,0.0,0.3,0.0,False
2.85,2.855,7.5,0.0,0.3,0.0,False
2.9,2.87,7.5,0.0,0.3,0.0,False
2.95,2.885,7.5,0.0,0.3,0.0,False
