time,level,closest_distance,message
0.000,info,8.000,"Intrusion detectee — 1 intrus, le plus proche a 8.00m"
0.100,info,7.900,"Intrusion detectee — 1 intrus, le plus proche a 7.90m"
0.200,info,7.800,"Intrusion detectee — 1 intrus, le plus proche a 7.80m"
0.300,info,7.700,"Intrusion detectee — 1 intrus, le plus proche a 7.70m"
0.400,info,7.600,"Intrusion detectee — 1 intrus, le plus proche a 7.60m"
0.500,info,7.500,"Intrusion detectee — 1 intrus, le plus proche a 7.50m"
0.600,info,7.400,"Intrusion detectee — 1 intrus, le plus proche a 7.40m"
0.700,info,7.300,"Intrusion detectee — 1 intrus, le plus proche a 7.30m"
0.800,info,7.200,"Intrusion detectee — 1 intrus, le plus proche a 7.20m"
0.900,info,7.100,"Intrusion detectee — 1 intrus, le plus proche a 7.10m"
1.000,info,7.000,"Intrusion detectee — 1 intrus, le plus proche a 7.00m"
1.100,info,6.900,"Intrusion detectee — 1 intrus, le plus proche a 6.90m"
1.200,info,6.800,"Intrusion detectee — 1 intrus, le plus proche a 6.80m"
1.300,info,6.700,"Intrusion detectee — 1 intrus, le plus proche a 6.70m"
1.400,info,6.600,"Intrusion detectee — 1 intrus, le plus proche a 6.60m"
1.500,info,6.500,"Intrusion detectee — 1 intrus, le plus proche a 6.50m"
1.600,info,6.400,"Intrusion detectee — 1 intrus, le plus proche a 6.40m"
1.700,info,6.300,"Intrusion detectee — 1 intrus, le plus proche a 6.30m"
1.800,info,6.200,"Intrusion detectee — 1 intrus, le plus proche a 6.20m"
1.900,info,6.100,"Intrusion detectee — 1 intrus, le plus proche a 6.10m"
2.000,info,6.000,"Intrusion detectee — 1 intrus, le plus proche a 6.00m"
2.100,info,5.900,"Intrusion detectee — 1 intrus, le plus proche a 5.90m"
2.200,info,5.800,"Intrusion detectee — 1 intrus, le plus proche a 5.80m"
2.300,info,5.700,"Intrusion detectee — 1 intrus, le plus proche a 5.70m"
2.400,info,5.600,"Intrusion detectee — 1 intrus, le plus proche a 5.60m"
2.500,info,5.500,"Intrusion detectee — 1 intrus, le plus proche a 5.50m"
2.600,info,5.400,"Intrusion detectee — 1 intrus, le plus proche a 5.40m"
2.700,info,5.300,"Intrusion detectee — 1 intrus, le plus proche a 5.30m"
2.800,info,5.200,"Intrusion detectee — 1 intrus, le plus proche a 5.20m"
2.900,info,5.100,"Intrusion detectee — 1 intrus, le plus proche a 5.10m"
3.000,info,5.000,"Intrusion detectee — 1 intrus, le plus proche a 5.00m"
3.100,info,4.900,"Intrusion detectee — 1 intrus, le plus proche a 4.90m"
3.200,info,4.800,"Intrusion detectee — 1 intrus, le plus proche a 4.80m"
3.300,info,4.700,"Intrusion detectee — 1 intrus, le plus proche a 4.70m"
3.400,info,4.600,"Intrusion detectee — 1 intrus, le plus proche a 4.60m"
3.500,info,4.500,"Intrusion detectee — 1 intrus, le plus proche a 4.50m"
3.600,info,4.400,"Intrusion detectee — 1 intrus, le plus proche a 4.40m"
3.700,info,4.300,"Intrusion detectee — 1 intrus, le plus proche a 4.30m"
3.800,info,4.200,"Intrusion detectee — 1 intrus, le plus proche a 4.20m"
3.900,info,4.100,"Intrusion detectee — 1 intrus, le plus proche a 4.10m"
4.000,warning,4.000,"Intrusion proche — 1 intrus, le plus proche a 4.00m"
4.100,warning,3.900,"Intrusion proche — 1 intrus, le plus proche a 3.90m"
4.200,warning,3.800,"Intrusion proche — 1 intrus, le plus proche a 3.80m"
4.300,warning,3.700,"Intrusion proche — 1 intrus, le plus proche a 3.70m"
4.400,warning,3.600,"Intrusion proche — 1 intrus, le plus proche a 3.60m"
4.500,warning,3.500,"Intrusion proche — 1 intrus, le plus proche a 3.50m"
4.600,warning,3.400,"Intrusion proche — 1 intrus, le plus proche a 3.40m"
4.700,warning,3.300,"Intrusion proche — 1 intrus, le plus proche a 3.30m"
4.800,warning,3.200,"Intrusion proche — 1 intrus, le plus proche a 3.20m"
4.900,warning,3.100,"Intrusion proche — 1 intrus, le plus proche a 3.10m"
5.000,warning,3.000,"Intrusion proche — 1 intrus, le plus proche a 3.00m"
5.100,warning,2.933,"Intrusion proche — 1 intrus, le plus proche a 2.93m"
5.200,warning,2.867,"Intrusion proche — 1 intrus, le plus proche a 2.87m"
5.300,warning,2.800,"Intrusion proche — 1 intrus, le plus proche a 2.80m"
5.400,warning,2.733,"Intrusion proche — 1 intrus, le plus proche a 2.73m"
5.500,warning,2.667,"Intrusion proche — 1 intrus, le plus proche a 2.67m"
5.600,warning,2.600,"Intrusion proche — 1 intrus, le plus proche a 2.60m"
5.700,warning,2.533,"Intrusion proche — 1 intrus, le plus proche a 2.53m"
5.800,warning,2.467,"Intrusion proche — 1 intrus, le plus proche a 2.47m"
5.900,warning,2.400,"Intrusion proche — 1 intrus, le plus proche a 2.40m"
6.000,warning,2.333,"Intrusion proche — 1 intrus, le plus proche a 2.33m"
6.100,warning,2.267,"Intrusion proche — 1 intrus, le plus proche a 2.27m"
6.200,warning,2.200,"Intrusion proche — 1 intrus, le plus proche a 2.20m"
6.300,warning,2.133,"Intrusion proche — 1 intrus, le plus proche a 2.13m"
6.400,warning,2.067,"Intrusion proche — 1 intrus, le plus proche a 2.07m"
6.500,warning,2.000,"Intrusion proche — 1 intrus, le plus proche a 2.00m"
6.600,danger,1.933,"INTRUSION CRITIQUE — 1 intrus, le plus proche a 1.93m"
6.700,danger,1.867,"INTRUSION CRITIQUE — 1 intrus, le plus proche a 1.87m"
6.800,danger,1.800,"INTRUSION CRITIQUE — 1 intrus, le plus proche a 1.80m"
6.900,danger,1.733,"INTRUSION CRITIQUE — 1 intrus, le plus proche a 1.73m"
7.000,danger,1.667,"INTRUSION CRITIQUE — 1 intrus, le plus proche a 1.67m"
7.100,danger,1.600,"INTRUSION CRITIQUE — 1 intrus, le plus proche a 1.60m"
7.200,danger,1.533,"INTRUSION CRITIQUE — 1 intrus, le plus proche a 1.53m"
7.300,danger,1.467,"INTRUSION CRITIQUE — 1 intrus, le plus proche a 1.47m"
7.400,danger,1.400,"INTRUSION CRITIQUE — 1 intrus, le plus proche a 1.40m"
7.500,danger,1.333,"INTRUSION CRITIQUE — 1 intrus, le plus proche a 1.33m"
7.600,danger,1.267,"INTRUSION CRITIQUE — 1 intrus, le plus proche a 1.27m"
7.700,danger,1.200,"INTRUSION CRITIQUE — 1 intrus, le plus proche a 1.20m"
7.800,danger,1.133,"INTRUSION CRITIQUE — 1 intrus, le plus proche a 1.13m"
7.900,danger,1.067,"INTRUSION CRITIQUE — 1 intrus, le plus proche a 1.07m"
8.000,danger,1.000,"INTRUSION CRITIQUE — 1 intrus, le plus proche a 1.00m"
8.100,danger,1.000,"INTRUSION CRITIQUE — 1 intrus, le plus proche a 1.00m"
8.200,danger,1.000,"INTRUSION CRITIQUE — 1 intrus, le plus proche a 1.00m"
8.300,danger,1.000,"INTRUSION CRITIQUE — 1 intrus, le plus proche a 1.00m"
8.400,danger,1.000,"INTRUSION CRITIQUE — 1 intrus, le plus proche a 1.00m"
8.500,danger,1.000,"INTRUSION CRITIQUE — 1 intrus, le plus proche a 1.00m"
8.600,danger,1.000,"INTRUSION CRITIQUE — 1 intrus, le plus proche a 1.00m"
8.700,danger,1.000,"INTRUSION CRITIQUE — 1 intrus, le plus proche a 1.00m"
8.800,danger,1.000,"INTRUSION CRITIQUE — 1 intrus, le plus proche a 1.00m"
8.900,danger,1.000,"INTRUSION CRITIQUE — 1 intrus, le plus proche a 1.00m"
9.000,danger,1.000,"INTRUSION CRITIQUE — 1 intrus, le plus proche a 1.00m"
9.100,danger,1.000,"INTRUSION CRITIQUE — 1 intrus, le plus proche a 1.00m"
9.200,danger,1.000,"INTRUSION CRITIQUE — 1 intrus, le plus proche a 1.00m"
9.300,danger,1.000,"INTRUSION CRITIQUE — 1 intrus, le plus proche a 1.00m"
9.400,danger,1.000,"INTRUSION CRITIQUE — 1 intrus, le plus proche a 1.00m"
9.500,danger,1.000,"INTRUSION CRITIQUE — 1 intrus, le plus proche a 1.00m"
9.600,danger,1.000,"INTRUSION CRITIQUE — 1 intrus, le plus proche a 1.00m"
9.700,danger,1.000,"INTRUSION CRITIQUE — 1 intrus, le plus proche a 1.00m"
9.800,danger,1.000,"INTRUSION CRITIQUE — 1 intrus, le plus proche a 1.00m"
9.900,danger,1.000,"INTRUSION CRITIQUE — 1 intrus, le plus proche a 1.00m"
10.000,danger,1.000,"INTRUSION CRITIQUE — 1 intrus, le plus proche a 1.00m"
10.100,danger,1.080,"INTRUSION CRITIQUE — 1 intrus, le plus proche a 1.08m"
10.200,danger,1.160,"INTRUSION CRITIQUE — 1 intrus, le plus proche a 1.16m"
10.300,danger,1.240,"INTRUSION CRITIQUE — 1 intrus, le plus proche a 1.24m"
10.400,danger,1.320,"INTRUSION CRITIQUE — 1 intrus, le plus proche a 1.32m"
10.500,danger,1.400,"INTRUSION CRITIQUE — 1 intrus, le plus proche a 1.40m"
10.600,danger,1.480,"INTRUSION CRITIQUE — 1 intrus, le plus proche a 1.48m"
10.700,danger,1.560,"INTRUSION CRITIQUE — 1 intrus, le plus proche a 1.56m"
10.800,danger,1.640,"INTRUSION CRITIQUE — 1 intrus, le plus proche a 1.64m"
10.900,danger,1.720,"INTRUSION CRITIQUE — 1 intrus, le plus proche a 1.72m"
11.000,danger,1.800,"INTRUSION CRITIQUE — 1 intrus, le plus proche a 1.80m"
11.100,danger,1.880,"INTRUSION CRITIQUE — 1 intrus, le plus proche a 1.88m"
11.200,danger,1.960,"INTRUSION CRITIQUE — 1 intrus, le plus proche a 1.96m"
11.300,warning,2.040,"Intrusion proche — 1 intrus, le plus proche a 2.04m"
11.400,warning,2.120,"Intrusion proche — 1 intrus, le plus proche a 2.12m"
11.500,warning,2.200,"Intrusion proche — 1 intrus, le plus proche a 2.20m"
11.600,warning,2.280,"Intrusion proche — 1 intrus, le plus proche a 2.28m"
11.700,warning,2.360,"Intrusion proche — 1 intrus, le plus proche a 2.36m"
11.800,warning,2.440,"Intrusion proche — 1 intrus, le plus proche a 2.44m"
11.900,warning,2.520,"Intrusion proche — 1 intrus, le plus proche a 2.52m"
12.000,warning,2.600,"Intrusion proche — 1 intrus, le plus proche a 2.60m"
12.100,warning,2.680,"Intrusion proche — 1 intrus, le plus proche a 2.68m"
12.200,warning,2.760,"Intrusion proche — 1 intrus, le plus proche a 2.76m"
12.300,warning,2.840,"Intrusion proche — 1 intrus, le plus proche a 2.84m"
12.400,warning,2.920,"Intrusion proche — 1 intrus, le plus proche a 2.92m"
12.500,warning,3.000,"Intrusion proche — 1 intrus, le plus proche a 3.00m"
12.600,warning,3.080,"Intrusion proche — 1 intrus, le plus proche a 3.08m"
12.700,warning,3.160,"Intrusion proche — 1 intrus, le plus proche a 3.16m"
12.800,warning,3.240,"Intrusion proche — 1 intrus, le plus proche a 3.24m"
12.900,warning,3.320,"Intrusion proche — 1 intrus, le plus proche a 3.32m"
13.000,warning,3.400,"Intrusion proche — 1 intrus, le plus proche a 3.40m"
