t,true_x,true_y,true_theta,est_x,est_y,est_theta,err_pos_m,err_theta_deg
0.000,1.0150,9.7500,0.0029,1.0000,9.7500,0.0000,0.0150,0.17
0.000,1.0300,9.7500,0.0053,1.0000,9.7500,0.0000,0.0300,0.30
0.050,1.0450,9.7501,0.0086,1.0352,9.7495,0.0203,0.0099,0.67
0.100,1.0600,9.7503,0.0115,1.0281,9.7492,-0.0061,0.0319,1.01
0.150,1.0750,9.7504,0.0153,1.0267,9.7527,-0.0031,0.0484,1.05
0.200,1.0900,9.7507,0.0177,1.0384,9.7456,-0.0118,0.0519,1.69
0.250,1.1050,9.7509,0.0196,1.0552,9.7563,0.0119,0.0501,0.44
0.300,1.1200,9.7512,0.0223,1.0555,9.7553,0.0276,0.0647,0.31
0.350,1.1350,9.7515,0.0253,1.0887,9.7505,0.0191,0.0463,0.36
0.400,1.1500,9.7519,0.0277,1.1160,9.7493,0.0199,0.0341,0.45
0.450,1.1650,9.7523,0.0303,1.1215,9.7602,0.0095,0.0443,1.19
0.500,1.1800,9.7528,0.0335,1.1705,9.7529,0.0266,0.0095,0.40
0.550,1.1950,9.7533,0.0375,1.1761,9.7436,0.0321,0.0213,0.31
0.600,1.2100,9.7539,0.0406,1.1975,9.7439,0.0095,0.0160,1.78
0.650,1.2249,9.7545,0.0429,1.2227,9.7553,0.0009,0.0023,2.41
0.700,1.2399,9.7551,0.0452,1.2552,9.7480,0.0243,0.0169,1.20
0.750,1.2549,9.7558,0.0454,1.2521,9.7472,0.0325,0.0090,0.74
0.800,1.2699,9.7565,0.0472,1.2452,9.7709,0.0410,0.0286,0.35
0.850,1.2849,9.7572,0.0488,1.2528,9.7596,0.0171,0.0322,1.82
0.900,1.2999,9.7579,0.0493,1.2585,9.7460,0.0523,0.0431,0.17
0.950,1.3148,9.7587,0.0515,1.2640,9.7564,0.0589,0.0509,0.42
1.000,1.3298,9.7594,0.0527,1.2870,9.7489,0.0118,0.0441,2.34
1.050,1.3448,9.7602,0.0530,1.3127,9.7520,0.0375,0.0331,0.89
1.100,1.3598,9.7610,0.0526,1.3280,9.7597,0.0554,0.0318,0.16
1.150,1.3748,9.7618,0.0518,1.3346,9.7690,0.0570,0.0409,0.30
1.200,1.3897,9.7626,0.0514,1.3708,9.7623,0.0815,0.0189,1.72
1.250,1.4047,9.7633,0.0518,1.3945,9.7593,0.0754,0.0109,1.35
1.300,1.4197,9.7641,0.0527,1.4143,9.7654,0.0386,0.0055,0.81
1.350,1.4347,9.7649,0.0525,1.4101,9.7515,0.0457,0.0281,0.39
1.400,1.4497,9.7657,0.0517,1.4201,9.7602,0.0684,0.0301,0.96
1.450,1.4646,9.7665,0.0519,1.4038,9.7725,0.0616,0.0611,0.56
1.500,1.4796,9.7673,0.0524,1.4180,9.7676,0.0374,0.0616,0.86
1.550,1.4946,9.7680,0.0521,1.4432,9.7630,0.0392,0.0516,0.74
1.600,1.5096,9.7688,0.0519,1.4775,9.7734,0.0423,0.0324,0.55
1.650,1.5246,9.7696,0.0525,1.5047,9.7663,0.0503,0.0202,0.12
1.700,1.5395,9.7704,0.0512,1.5202,9.7675,0.0232,0.0195,1.61
1.750,1.5545,9.7712,0.0492,1.5006,9.7699,0.0831,0.0539,1.94
1.800,1.5695,9.7719,0.0485,1.5201,9.7793,0.0848,0.0499,2.08
1.850,1.5845,9.7726,0.0477,1.5314,9.7706,0.0625,0.0531,0.85
1.900,1.5995,9.7733,0.0481,1.5508,9.7768,0.0482,0.0488,0.00
1.950,1.6144,9.7741,0.0480,1.5517,9.7648,0.0355,0.0634,0.72
2.000,1.6294,9.7748,0.0474,1.5822,9.7614,0.0574,0.0490,0.58
2.050,1.6444,9.7755,0.0462,1.6273,9.7804,0.0352,0.0178,0.63
2.100,1.6594,9.7762,0.0447,1.6165,9.7826,0.0502,0.0433,0.31
2.150,1.6744,9.7768,0.0424,1.6371,9.7806,0.0662,0.0375,1.36
2.200,1.6894,9.7775,0.0417,1.6658,9.7954,0.0600,0.0296,1.05
2.250,1.7044,9.7781,0.0414,1.6627,9.7713,0.0561,0.0423,0.84
2.300,1.7193,9.7787,0.0407,1.6772,9.7759,0.0331,0.0422,0.43
2.350,1.7343,9.7793,0.0421,1.6922,9.7778,0.0398,0.0422,0.13
2.400,1.7493,9.7800,0.0448,1.7085,9.7569,0.0160,0.0469,1.65
2.450,1.7643,9.7806,0.0465,1.7220,9.7442,-0.0013,0.0558,2.74
2.500,1.7793,9.7813,0.0466,1.7432,9.7568,0.0034,0.0437,2.47
2.550,1.7943,9.7820,0.0456,1.7554,9.7812,0.0065,0.0389,2.24
2.600,1.8093,9.7827,0.0443,1.7909,9.7837,0.0396,0.0185,0.27
2.650,1.8242,9.7834,0.0440,1.7574,9.7849,0.0440,0.0668,0.00
2.700,1.8392,9.7840,0.0422,1.7738,9.7763,0.0299,0.0659,0.70
2.750,1.8542,9.7847,0.0395,1.7902,9.7879,0.0559,0.0641,0.94
2.800,1.8692,9.7853,0.0394,1.8229,9.8013,0.0518,0.0489,0.71
2.850,1.8842,9.7859,0.0387,1.8086,9.7884,0.0009,0.0756,2.16
2.900,1.8992,9.7864,0.0357,1.8382,9.7808,0.0322,0.0613,0.20
2.950,1.9142,9.7870,0.0338,1.8595,9.7946,0.0692,0.0553,2.03
3.000,1.9292,9.7875,0.0320,1.8755,9.7937,0.0381,0.0541,0.35
3.050,1.9441,9.7880,0.0293,1.8930,9.7974,0.0255,0.0519,0.22
3.100,1.9591,9.7884,0.0272,1.9542,9.7998,0.0406,0.0124,0.77
