time,x,y,theta,v,omega,stopped
0.05,1.015,9.75,0.0029,0.3,0.0578,False
0.1,1.03,9.75,0.0053,0.3,0.0491,False
0.15,1.045,9.7501,0.0086,0.3,0.0655,False
0.2,1.06,9.7503,0.0115,0.3,0.0584,False
0.25,1.075,9.7504,0.0153,0.3,0.0757,False
0.3,1.09,9.7507,0.0177,0.3,0.0468,False
0.35,1.105,9.7509,0.0196,0.3,0.0379,False
0.4,1.12,9.7512,0.0223,0.3,0.0548,False
0.45,1.135,9.7515,0.0253,0.3,0.0594,False
0.5,1.15,9.7519,0.0277,0.3,0.0489,False
0.55,1.165,9.7523,0.0303,0.3,0.0519,False
0.6,1.18,9.7528,0.0335,0.3,0.0645,False
0.65,1.195,9.7533,0.0375,0.3,0.0792,False
0.7,1.21,9.7539,0.0406,0.3,0.0614,False
0.75,1.2249,9.7545,0.0429,0.3,0.0475,False
0.8,1.2399,9.7551,0.0452,0.3,0.0446,False
0.85,1.2549,9.7558,0.0454,0.3,0.0049,False
0.9,1.2699,9.7565,0.0472,0.3,0.036,False
0.95,1.2849,9.7572,0.0488,0.3,0.0311,False
1.0,1.2999,9.7579,0.0493,0.3,0.0105,False
1.05,1.3148,9.7587,0.0515,0.3,0.0442,False
1.1,1.3298,9.7594,0.0527,0.3,0.0247,False
1.15,1.3448,9.7602,0.053,0.3,0.0045,False
1.2,1.3598,9.761,0.0526,0.3,-0.0077,False
1.25,1.3748,9.7618,0.0518,0.3,-0.0149,False
1.3,1.3897,9.7626,0.0514,0.3,-0.0079,False
1.35,1.4047,9.7633,0.0518,0.3,0.0066,False
1.4,1.4197,9.7641,0.0527,0.3,0.0192,False
1.45,1.4347,9.7649,0.0525,0.3,-0.0051,False
1.5,1.4497,9.7657,0.0517,0.3,-0.0157,False
1.55,1.4646,9.7665,0.0519,0.3,0.0046,False
1.6,1.4796,9.7673,0.0524,0.3,0.0088,False
1.65,1.4946,9.768,0.0521,0.3,-0.006,False
1.7,1.5096,9.7688,0.0519,0.3,-0.0028,False
1.75,1.5246,9.7696,0.0525,0.3,0.012,False
1.8,1.5395,9.7704,0.0512,0.3,-0.0266,False
1.85,1.5545,9.7712,0.0492,0.3,-0.0392,False
1.9,1.5695,9.7719,0.0485,0.3,-0.0155,False
1.95,1.5845,9.7726,0.0477,0.3,-0.0147,False
2.0,1.5995,9.7733,0.0481,0.3,0.0075,False
2.05,1.6144,9.7741,0.048,0.3,-0.0021,False
