time,x,y,theta,v,omega,stopped
0.05,1.015,9.75,0.0,0.3,0.0,False
0.1,1.03,9.75,-0.0013,0.3,-0.0257,False
0.15,1.045,9.75,-0.0015,0.3,-0.0047,False
0.2,1.06,9.75,-0.0011,0.3,0.0083,False
0.25,1.075,9.7499,0.0003,0.3,0.0282,False
0.3,1.09,9.7499,0.0006,0.3,0.0059,False
0.35,1.105,9.75,0.0009,0.3,0.0052,False
0.4,1.12,9.75,0.0009,0.3,0.0007,False
0.45,1.135,9.75,-0.0001,0.3,-0.0191,False
0.5,1.15,9.75,-0.0005,0.3,-0.0082,False
0.55,1.165,9.75,-0.0007,0.3,-0.0044,False
0.6,1.18,9.75,0.0,0.3,0.0146,False
0.65,1.195,9.75,-0.0001,0.3,-0.0024,False
0.7,1.21,9.75,0.0023,0.3,0.0469,False
0.75,1.225,9.75,0.0051,0.3,0.0559,False
0.8,1.24,9.7501,0.0067,0.3,0.0337,False
0.85,1.255,9.7502,0.008,0.3,0.0244,False
0.9,1.27,9.7503,0.0083,0.3,0.0063,False
0.95,1.285,9.7504,0.0074,0.3,-0.0171,False
1.0,1.3,9.7505,0.0062,0.3,-0.0241,False
1.05,1.315,9.7506,0.0057,0.3,-0.0093,False
1.1,1.33,9.7507,0.0058,0.3,0.0003,False
1.15,1.345,9.7508,0.0059,0.3,0.0028,False
1.2,1.36,9.7509,0.0034,0.3,-0.0502,False
1.25,1.375,9.7509,0.0019,0.3,-0.0289,False
1.3,1.39,9.751,0.0008,0.3,-0.0225,False
1.35,1.405,9.751,-0.0011,0.3,-0.0385,False
1.4,1.42,9.751,-0.0018,0.3,-0.0137,False
1.45,1.435,9.7509,-0.0027,0.3,-0.0181,False
1.5,1.45,9.7509,-0.0037,0.3,-0.021,False
1.55,1.465,9.7508,-0.0039,0.3,-0.0027,False
1.6,1.48,9.7508,-0.003,0.3,0.018,False
1.65,1.495,9.7507,-0.0008,0.3,0.0433,False
1.7,1.51,9.7507,0.0018,0.3,0.0511,False
1.75,1.525,9.7507,0.0025,0.3,0.0158,False
1.8,1.54,9.7508,0.0032,0.3,0.0125,False
1.85,1.555,9.7508,0.0043,0.3,0.0226,False
1.9,1.57,9.7509,0.0023,0.3,-0.0406,False
1.95,1.585,9.7509,0.0014,0.3,-0.0165,False
2.0,1.6,9.751,-0.0004,0.3,-0.0378,False
2.05,1.615,9.7509,-0.0004,0.3,0.0011,False
2.1,1.63,9.7509,0.0005,0.3,0.0171,False
2.15,1.645,9.7509,-0.0006,0.3,-0.0217,False
2.2,1.66,9.7509,-0.001,0.3,-0.0071,False
2.25,1.675,9.7509,-0.0009,0.3,0.0014,False
2.3,1.69,9.7509,-0.0009,0.3,-0.0,False
2.35,1.705,9.7509,-0.0005,0.3,0.0084,False
2.4,1.72,9.7509,-0.003,0.3,-0.0507,False
2.45,1.735,9.7508,-0.0051,0.3,-0.0422,False
2.5,1.75,9.7508,-0.0056,0.3,-0.0093,False
2.55,1.765,9.7507,-0.005,0.3,0.011,False
2.6,1.78,9.7506,-0.0056,0.3,-0.0119,False
2.65,1.795,9.7505,-0.0048,0.3,0.0161,False
2.7,1.81,9.7504,-0.0038,0.3,0.0214,False
2.75,1.825,9.7504,-0.003,0.3,0.0151,False
2.8,1.84,9.7503,-0.0035,0.3,-0.0097,False
2.85,1.855,9.7503,-0.0017,0.3,0.0361,False
2.9,1.87,9.7503,0.0006,0.3,0.0456,False
2.95,1.885,9.7503,0.0016,0.3,0.0213,False
3.0,1.9,9.7503,0.0009,0.3,-0.0154,False
3.05,1.915,9.7503,0.0009,0.3,0.001,False
3.1,1.93,9.7503,-0.0008,0.3,-0.034,False
3.15,1.945,9.7503,-0.0023,0.3,-0.0315,False
3.2,1.96,9.7503,-0.0033,0.3,-0.0188,False
3.25,1.975,9.7502,-0.0048,0.3,-0.0294,False
3.3,1.99,9.7502,-0.0058,0.3,-0.0199,False
3.35,2.005,9.7501,-0.0063,0.3,-0.0107,False
3.4,2.02,9.75,-0.0087,0.3,-0.0478,False
3.45,2.035,9.7499,-0.0098,0.3,-0.0222,False
3.5,2.05,9.7497,-0.0094,0.3,0.0082,False
3.55,2.065,9.7496,-0.0097,0.3,-0.0072,False
3.6,2.08,9.7494,-0.0096,0.3,0.0025,False
3.65,2.095,9.7493,-0.0104,0.3,-0.0149,False
3.7,2.11,9.7491,-0.0091,0.3,0.0258,False
3.75,2.125,9.749,-0.0093,0.3,-0.0048,False
3.8,2.14,9.7488,-0.0102,0.3,-0.0176,False
3.85,2.155,9.7487,-0.0104,0.3,-0.0035,False
3.9,2.17,9.7485,-0.0092,0.3,0.0239,False
3.95,2.185,9.7484,-0.0081,0.3,0.0223,False
4.0,2.2,9.7483,-0.0088,0.3,-0.0139,False
4.05,2.215,9.7481,-0.0104,0.3,-0.0321,False
4.1,2.23,9.748,-0.0112,0.3,-0.0168,False
4.15,2.245,9.7478,-0.0132,0.3,-0.0395,False
4.2,2.26,9.7476,-0.0127,0.3,0.009,False
4.25,2.275,9.7474,-0.0124,0.3,0.0072,False
4.3,2.29,9.7472,-0.0125,0.3,-0.0027,False
4.35,2.305,9.7471,-0.0147,0.3,-0.0431,False
4.4,2.32,9.7468,-0.015,0.3,-0.0069,False
4.45,2.335,9.7466,-0.0157,0.3,-0.0149,False
4.5,2.35,9.7464,-0.0147,0.3,0.0204,False
4.55,2.365,9.7462,-0.0155,0.3,-0.0151,False
4.6,2.38,9.7459,-0.0151,0.3,0.0082,False
4.65,2.395,9.7457,-0.015,0.3,0.0014,False
4.7,2.41,9.7455,-0.0138,0.3,0.0229,False
4.75,2.425,9.7453,-0.0134,0.3,0.0091,False
4.8,2.44,9.7451,-0.0126,0.3,0.0157,False
4.85,2.455,9.7449,-0.0114,0.3,0.0239,False
4.9,2.47,9.7447,-0.0114,0.3,-0.0004,False
4.95,2.485,9.7445,-0.011,0.3,0.0096,False
5.0,2.5,9.7444,-0.0112,0.3,-0.0048,False
5.05,2.515,9.7442,-0.0107,0.3,0.0091,False
5.1,2.53,9.744,-0.0089,0.3,0.0363,False
5.15,2.545,9.7439,-0.0079,0.3,0.02,False
5.2,2.56,9.7438,-0.0059,0.3,0.0411,False
5.25,2.575,9.7437,-0.0027,0.3,0.0636,False
5.3,2.59,9.7437,-0.0001,0.3,0.0517,False
5.35,2.605,9.7437,0.0015,0.3,0.0331,False
5.4,2.62,9.7437,0.0044,0.3,0.0561,False
5.45,2.635,9.7437,0.005,0.3,0.012,False
5.5,2.65,9.7438,0.0043,0.3,-0.013,False
5.55,2.665,9.7439,0.0039,0.3,-0.0073,False
5.6,2.68,9.7439,0.0055,0.3,0.0307,False
5.65,2.695,9.744,0.0084,0.3,0.0581,False
5.7,2.71,9.7442,0.0115,0.3,0.0628,False
5.75,2.725,9.7443,0.013,0.3,0.0304,False
5.8,2.74,9.7445,0.0133,0.3,0.005,False
5.85,2.755,9.7447,0.0127,0.3,-0.0111,False
5.9,2.77,9.7449,0.0131,0.3,0.0078,False
5.95,2.7849,9.7451,0.0124,0.3,-0.0139,False
6.0,2.7999,9.7453,0.0114,0.3,-0.021,False
6.05,2.8149,9.7455,0.01,0.3,-0.0269,False
6.1,2.8299,9.7456,0.0091,0.3,-0.0194,False
6.15,2.8449,9.7458,0.0083,0.3,-0.0152,False
6.2,2.8599,9.7459,0.0079,0.3,-0.0083,False
6.25,2.8749,9.746,0.0077,0.3,-0.0039,False
6.3,2.8899,9.7461,0.0077,0.3,-0.0007,False
6.35,2.9049,9.7462,0.0094,0.3,0.0339,False
6.4,2.9199,9.7464,0.0089,0.3,-0.01,False
6.45,2.9349,9.7465,0.0086,0.3,-0.0052,False
6.5,2.9499,9.7466,0.0078,0.3,-0.0161,False
